offer_id,ts,seller_id,offered_kwh,offer_price,commit_hash,expiry_ts,matched_trade_id,synthetic_offer
offer_ev_owner_01_1735706100,2025-01-01T04:35:00Z,ev_owner_01,0.107271,5.9127,4e08cded8a1e7e5ff0e25864d6a263251a6a4b49559a8d7e2f79ed413ef9758b,2025-01-01T04:50:00Z,synthetic_050db3aa73f4,False
offer_ev_owner_01_1735706400,2025-01-01T04:40:00Z,ev_owner_01,0.115965,4.9442,8b3300f1c9eb8d88883b90863502574414c814cad36bdc34e80384fff486e196,2025-01-01T04:55:00Z,synthetic_77a0916d7c7f,False
offer_ev_owner_01_1735706700,2025-01-01T04:45:00Z,ev_owner_01,0.115822,5.9156,77e76c797ab77c3d8960df6a3a1799ebee7e4076a07aa5183813ac14b0337ab8,2025-01-01T05:00:00Z,synthetic_6a710d58cfdb,False
offer_ev_owner_01_1735707000,2025-01-01T04:50:00Z,ev_owner_01,0.112037,5.2983,72c6ab0825255cad841f2df6837e53a534377bb745b52ec40954a8cf33efac6c,2025-01-01T05:05:00Z,synthetic_ad3c27ea4774,False
offer_ev_owner_01_1735707300,2025-01-01T04:55:00Z,ev_owner_01,0.123656,5.9068,9cb48321e3c639d52ae433d5a47ee9e2faa07442ae6d077790717f415750413f,2025-01-01T05:10:00Z,synthetic_c834d8354aa2,False
offer_ev_owner_01_1735707600,2025-01-01T05:00:00Z,ev_owner_01,0.127526,5.7034,eb1e72f8d978cd433516c75e890a2fe126ec93b685ee2ddb032c4a34dce4d73d,2025-01-01T05:15:00Z,synthetic_8a643e3a2b83,False
offer_ev_owner_01_1735707900,2025-01-01T05:05:00Z,ev_owner_01,0.134657,5.0514,017e250d0fad0c788c9842a9ff0f2ee34723f65e5de249bbbbbbbeea354ea66c,2025-01-01T05:20:00Z,synthetic_6f2dbeefd6c1,False
offer_ev_owner_01_1735708200,2025-01-01T05:10:00Z,ev_owner_01,0.141516,5.1882,9935047d83a1419048a851ef9de1ad793a4c04cd0fff67162669794d95aa6f5b,2025-01-01T05:25:00Z,synthetic_3cd03572fe26,False
offer_ev_owner_01_1735708500,2025-01-01T05:15:00Z,ev_owner_01,0.144902,5.7801,b9bcdfd053d49341551d50fe5539818124f2d69efe688f7b960988bd077740ee,2025-01-01T05:30:00Z,synthetic_dc7beb20eacd,False
offer_ev_owner_01_1735708800,2025-01-01T05:20:00Z,ev_owner_01,0.144111,5.8942,2d2951c38e66e2c5882a0843b6a02b4ee9bd173bef7148798c4fe3b8c8a577e2,2025-01-01T05:35:00Z,synthetic_9de4cc3b88c1,False
offer_ev_owner_01_1735709100,2025-01-01T05:25:00Z,ev_owner_01,0.153455,5.1266,b2cb6a5b72a755183aa5429310673dcc4e852234892143b8de230811530e1c9a,2025-01-01T05:40:00Z,synthetic_b294e4c2e1f7,False
offer_ev_owner_01_1735709400,2025-01-01T05:30:00Z,ev_owner_01,0.15351,5.8947,89d744867ee09cf25155b3ba6d48b0cb75d68e120d5fab71700f5a0eeee77048,2025-01-01T05:45:00Z,synthetic_f84d936dab96,False
offer_ev_owner_01_1735709700,2025-01-01T05:35:00Z,ev_owner_01,0.145351,5.7487,fa7d8f458c5b872261d0d811b9c4cce1ec3fd5e388c8c819ada261ad7b586c84,2025-01-01T05:50:00Z,synthetic_1393c223d257,False
