trade_id,offer_id,buyer_id,seller_id,open_ts,accept_ts,settle_ts,amount_paid,settled_bool,settlement_tx_stub,synthetic_trade
trade_000001,offer_ev_owner_01_1736582100,small_apartment_01,ev_owner_01,2025-01-11T07:55:00Z,2025-01-11T08:10:00Z,2025-01-11T08:25:00Z,0.595816,True,8cbf10e5ad5cfc3847eca8ab908fb76d,False
trade_000002,offer_ev_owner_01_1737189600,family_home_01,ev_owner_01,2025-01-18T08:40:00Z,2025-01-18T08:55:00Z,2025-01-18T09:10:00Z,0.657783,True,6dc662525f1546704b55d9347c4799ae,False
trade_000003,offer_ev_owner_01_1737792900,family_home_01,ev_owner_01,2025-01-25T08:15:00Z,2025-01-25T08:30:00Z,2025-01-25T08:45:00Z,0.866947,True,19258486f988334188a4ad486397fe78,False
trade_000004,offer_ev_owner_01_1738487100,small_apartment_01,ev_owner_01,2025-02-02T09:05:00Z,2025-02-02T09:20:00Z,2025-02-02T09:35:00Z,0.743731,True,45a89b091df7c835724f4ff574219ca7,False
trade_000005,offer_ev_owner_01_1738650000,small_apartment_01,ev_owner_01,2025-02-04T06:20:00Z,2025-02-04T06:35:00Z,2025-02-04T06:50:00Z,1.189022,True,97a7195757c794f167dd559885533ed2,False
trade_000006,offer_ev_owner_01_1738830300,family_home_01,ev_owner_01,2025-02-06T08:25:00Z,2025-02-06T08:35:00Z,2025-02-06T08:50:00Z,0.872353,True,8cddc7a2cd7437341c8ef089977b7364,False
trade_000007,offer_ev_owner_01_1739854500,family_home_01,ev_owner_01,2025-02-18T04:55:00Z,2025-02-18T05:05:00Z,2025-02-18T05:20:00Z,0.893889,True,af21890c9a15a5f67376974f14b3e692,False
trade_000008,offer_ev_owner_01_1739870700,small_apartment_01,ev_owner_01,2025-02-18T09:25:00Z,2025-02-18T09:40:00Z,2025-02-18T09:55:00Z,0.688394,True,09e1a875f4a848556e32deb5c24dd9a1,False
trade_000009,offer_ev_owner_01_1739949000,small_apartment_01,ev_owner_01,2025-02-19T07:10:00Z,2025-02-19T07:25:00Z,2025-02-19T07:40:00Z,1.432105,True,00c51d7c2d941b4b0334f16acd93dab4,False
trade_000010,offer_family_home_01_1741067700,small_apartment_01,family_home_01,2025-03-04T05:55:00Z,2025-03-04T06:10:00Z,2025-03-04T06:25:00Z,0.775807,True,e9b1397332c6a97503a3e519a96dc391,False
synthetic_050db3aa73f4,offer_ev_owner_01_1735706100,grid,ev_owner_01,2025-01-01T04:35:00Z,2025-01-01T04:35:00Z,2025-01-01 04:50:00+00:00,0.6352,True,322eebea1f3a4261a3a58ec82443cd81,True
synthetic_77a0916d7c7f,offer_ev_owner_01_1735706400,grid,ev_owner_01,2025-01-01T04:40:00Z,2025-01-01T04:40:00Z,2025-01-01 04:55:00+00:00,0.5704,True,d800c090c18d40e28ae2854eac876c09,True
synthetic_6a710d58cfdb,offer_ev_owner_01_1735706700,grid,ev_owner_01,2025-01-01T04:45:00Z,2025-01-01T04:45:00Z,2025-01-01 05:00:00+00:00,0.6877,True,8d9829963a2549deb66692f91b59e08a,True
synthetic_ad3c27ea4774,offer_ev_owner_01_1735707000,grid,ev_owner_01,2025-01-01T04:50:00Z,2025-01-01T04:50:00Z,2025-01-01 05:05:00+00:00,0.5964,True,ed1bf0aa1c314c88a0bb3c202ee5c13e,True
synthetic_c834d8354aa2,offer_ev_owner_01_1735707300,grid,ev_owner_01,2025-01-01T04:55:00Z,2025-01-01T04:55:00Z,2025-01-01 05:10:00+00:00,0.7233,True,53adad6bc42d4742a80d1c5eb1b2c40b,True
synthetic_8a643e3a2b83,offer_ev_owner_01_1735707600,grid,ev_owner_01,2025-01-01T05:00:00Z,2025-01-01T05:00:00Z,2025-01-01 05:15:00+00:00,0.7226,True,f0be9b29c63949ed8e7292f6777c5607,True
synthetic_6f2dbeefd6c1,offer_ev_owner_01_1735707900,grid,ev_owner_01,2025-01-01T05:05:00Z,2025-01-01T05:05:00Z,2025-01-01 05:20:00+00:00,0.6806,True,15e0025c36b6486e9bfd749688639f3e,True
synthetic_3cd03572fe26,offer_ev_owner_01_1735708200,grid,ev_owner_01,2025-01-01T05:10:00Z,2025-01-01T05:10:00Z,2025-01-01 05:25:00+00:00,0.7331,True,c38dc1079d304f56b8c1cf39174f0161,True
synthetic_dc7beb20eacd,offer_ev_owner_01_1735708500,grid,ev_owner_01,2025-01-01T05:15:00Z,2025-01-01T05:15:00Z,2025-01-01 05:30:00+00:00,0.8375,True,ef78e4f2b96a49e6815a8dc742fb3fb8,True
synthetic_9de4cc3b88c1,offer_ev_owner_01_1735708800,grid,ev_owner_01,2025-01-01T05:20:00Z,2025-01-01T05:20:00Z,2025-01-01 05:35:00+00:00,0.8458,True,7d79ac61a1224463964a1ba4a7468446,True
