column,min,mean,median,max,std,non_null
pv_gen_kw,0.0,0.483221,3.4e-05,4.311733,0.848486,77760
load_kw,0.083256,0.519836,0.461916,3.832125,0.345078,77760
net_kw,-3.709323,-0.036615,-0.208132,3.571912,0.894395,77760
soc_kwh,0.4,2.378791,1.0,9.8,2.729046,77760
soc_capacity_kwh,4.0,6.666667,6.0,10.0,2.494454,77760
battery_power_kw,-3.0,0.025424,0.0,3.0,0.762904,77760
price_signal,3.0,5.166667,5.25,8.0,1.662505,77760
forecast_irradiance_1h,0.0,234.966319,8.197083,1025.2,312.656993,77742
forecast_irradiance_3h,0.0,235.076297,8.070833,1025.2,312.771804,77670
forecast_temp_1h,10.81,23.945302,22.662084,39.26,6.851156,77742
actual_irradiance_wm2,0.0,234.912597,8.1875,1025.2,312.640738,77760
voltage_v,230.0,230.0,230.0,230.0,0.0,77760
current_a,0.000152,2.778509,1.67095,16.127491,2.725245,77760
offered_kwh,0.020007,0.117226,0.111777,0.297659,0.071394,14695
offer_price,4.002623,5.435634,5.28,6.59949,0.509518,14695
reward,-0.917349,-0.090942,-0.044562,0.003255,0.118952,77760
