column,missing_count,missing_fraction
ts,0,0.0
household_id,0,0.0
pv_gen_kw,88,0.001132
load_kw,75,0.000965
net_kw,163,0.002096
soc_kwh,0,0.0
soc_capacity_kwh,0,0.0
battery_power_kw,0,0.0
price_signal,0,0.0
forecast_irradiance_1h,36,0.000463
forecast_irradiance_3h,108,0.001389
forecast_temp_1h,36,0.000463
actual_irradiance_wm2,0,0.0
voltage_v,0,0.0
current_a,163,0.002096
offer_id,66592,0.856379
offered_kwh,66592,0.856379
offer_price,66592,0.856379
trade_id,77201,0.992811
commit_hash,66592,0.856379
event_flag,0,0.0
reward,163,0.002096
safety_violation,0,0.0
voltage_v_synth_flag,0,0.0
current_a_synth_flag,0,0.0
